takeoff_angle,azimuth,strike,dip,rake,poissons_ratio,opening_angle,Gp,Gs,Gsh,Gsv
1.022e+02,-1.508e+02,2.762e+01,9.699e+00,-1.795e+01,2.500e-01,2.867e+01,1.802e-01,5.897e-01,5.762e-02,-5.869e-01
1.365e+01,1.546e+02,-1.141e+02,8.157e+01,-1.486e+01,2.500e-01,4.807e+01,8.373e-01,4.664e-01,-2.337e-01,4.037e-01
9.711e+00,9.926e+01,-9.362e+01,7.917e+01,5.830e+01,2.500e-01,8.096e+00,5.524e-01,8.922e-01,8.569e-01,2.486e-01
9.554e+01,-4.755e+00,1.391e+02,7.360e+01,9.730e+01,2.500e-01,1.005e+01,-1.032e-01,4.777e-01,-2.085e-01,-4.298e-01
1.403e+02,-2.309e+01,-1.697e+02,2.347e+01,-5.392e+01,2.500e-01,1.227e+01,1.933e-02,8.059e-01,-8.009e-01,-8.976e-02
1.681e+02,-1.916e+01,-3.636e+00,5.349e+01,5.832e+01,2.500e-01,6.108e+01,1.799e+00,9.908e-01,9.391e-01,3.159e-01
2.338e+01,-6.971e+01,-1.195e+02,2.026e+00,-3.018e+01,2.500e-01,4.457e+01,1.351e+00,9.920e-01,1.946e-01,-9.727e-01
1.024e+02,3.063e+00,1.723e+02,3.827e+01,1.231e+02,2.500e-01,1.707e+01,3.758e-01,7.518e-01,-4.301e-01,6.166e-01
8.449e+01,3.878e+00,7.657e+01,2.814e+01,1.199e+02,2.500e-01,4.455e+01,6.898e-01,5.251e-01,2.160e-01,-4.786e-01
2.142e+00,1.143e+02,1.698e-01,1.453e+01,-8.768e+01,2.500e-01,1.328e+01,1.242e-01,9.417e-01,4.210e-01,-8.424e-01
6.068e+01,1.061e+02,-1.041e+01,1.609e+01,4.085e+01,2.500e-01,4.948e+00,5.401e-01,8.331e-01,2.135e-01,-8.053e-01
